,LAT,LONG,ALT
250,-0.21051799999999998,36.299763,2725
251,-0.21404299999999998,36.299753,2692
252,-0.22638200000000003,36.299719,2653
253,-0.242252,36.299673999999996,2613
254,-0.26165700000000003,36.299619,2578
255,-0.275778,36.299585,2554
256,-0.288134,36.299546,2495
257,-0.300503,36.303063,2478
258,-0.302271,36.32782,2518
259,-0.302243,36.347223,2447
260,-0.302215,36.364868,2399
261,-0.295111,36.377217,2320
262,-0.259707,36.398447,2367
263,-0.22254000000000002,36.417916,2333
264,-0.197737,36.433834000000004,2342
265,-0.190648,36.435601,2344
266,-0.178234,36.444443,2325
267,-0.165863,36.449760999999995,2325
268,-0.153504,36.455081,2330
269,-0.149975,36.455084,2330
270,-0.14291900000000002,36.455090000000006,2334
271,-0.127046,36.455104,2512
272,-0.105861,36.449808000000004,2538
273,-0.091668,36.448029,2537
274,-0.079263,36.448024,2503
275,-0.066861,36.448021000000004,2493
276,-0.054405999999999996,36.448005,2448
277,-0.049032,36.455071999999994,2424
278,-0.043626,36.47453,2388
279,-0.04353,36.488685,2363
280,-0.043373,36.511703999999995,2327
281,-0.043307,36.522334,2280
282,-0.062845,36.541826,2250
283,-0.08601900000000001,36.548905,2324
284,-0.10031799999999999,36.550665,2420
285,-0.11639100000000001,36.552423,2449
286,-0.13778800000000002,36.554176,2544
287,-0.146849,36.555919,2618
288,-0.150558,36.564727000000005,2617
289,-0.152403,36.582368,2568
290,-0.152356,36.589441,2446
291,-0.152111,36.605409,2404
292,-0.153803,36.610735999999996,2435
293,-0.167966,36.612497,2490
294,-0.187551,36.607141,2669
295,-0.203619,36.598248,2856
296,-0.216079,36.592915000000005,3066
297,-0.221469,36.585827,3195
298,-0.225162,36.571678999999996,3065
299,-0.223456,36.559338000000004,2951
300,-0.20915100000000003,36.547035,2878
301,-0.19309400000000002,36.536467,2770
302,-0.178877,36.52941,2725
303,-0.134425,36.518809000000005,2538
304,-0.12551500000000002,36.51704,2488
305,-0.10408599999999998,36.517033000000005,2420
306,-0.093402,36.509953,2426
307,-0.095211,36.506417,2429
308,-0.125595,36.488764,2574
309,-0.136241,36.485236,2605
310,-0.157218,36.476355,2621
311,-0.172952,36.467465000000004,2338
312,-0.188846,36.463914,2330
313,-0.21365900000000002,36.458612,2334
314,-0.243777,36.455083,2333
315,-0.27209,36.44623,2342
316,-0.286242,36.439144,2335
317,-0.298626,36.430288,2333
318,-0.314551,36.389563,2322
319,-0.316375,36.359567999999996,2368
320,-0.31640799999999997,36.336639,2412
321,-0.316419,36.327821,2505
322,-0.316427,36.317232000000004,2472
323,-0.268698,36.313714000000004,2583
324,-0.21564699999999998,36.331384,2677
325,-0.185455,36.368419,2430
326,-0.174751,36.393137,2385
327,-0.171201,36.410831,2342
328,-0.16765,36.430296000000006,2333
329,-0.158827,36.430306,2333
330,-0.150003,36.432086,2325
331,-0.13236199999999998,36.435644,2329
332,-0.132363,36.428567,2329
333,-0.137653,36.421482,2345
334,-0.150001,36.40554,2345
335,-0.16061199999999998,36.398457,2354
336,-0.167678,36.391371,2360
337,-0.180078,36.382528,2392
338,-0.190702,36.380762,2405
339,-0.210173,36.378996,2431
340,-0.229648,36.375463,2411
341,-0.270362,36.3684,2386
342,-0.284548,36.350751,2455
343,-0.293415,36.336638,2560
344,-0.298745,36.320767,2561
345,-0.29875,36.308399,2479
346,-0.298752,36.294259000000004,2538
347,-0.29515399999999997,36.283515,2454
348,-0.273876,36.274577,2520
349,-0.23513699999999998,36.274865000000005,2684
350,-0.21403699999999998,36.273247,2708
351,-0.189411,36.266309,2701
352,-0.184072,36.252132,2699
353,-0.19450699999999999,36.234248,2641
354,-0.22431700000000002,36.228555,2452
355,-0.254289,36.238955,2371
356,-0.26323,36.262137,2554
357,-0.266841,36.278194,2538
358,-0.26864099999999996,36.285325,2520
359,-0.275692,36.285282,2487
360,-0.275658,36.278139,2553
361,-0.275553,36.256688,2412
362,-0.270177,36.240615000000005,2307
363,-0.23840799999999998,36.235517,2414
364,-0.190918,36.225334000000004,2600
365,-0.176821,36.225395,2664
366,-0.157248,36.227006,2644
367,-0.155503,36.232339,2685
368,-0.155657,36.250192999999996,2795
369,-0.180611,36.261047,2721
370,-0.236817,36.262353999999995,2567
371,-0.270204,36.245987,2377
372,-0.28073200000000004,36.231578000000006,2234
373,-0.29127,36.21535,2159
374,-0.294809,36.215323,2162
375,-0.300161,36.226051,2232
376,-0.302,36.243968,2241
377,-0.302077,36.263666,2460
378,-0.30221,36.279928999999996,2463
379,-0.307598,36.290738,2486
380,-0.34823000000000004,36.290609,2401
381,-0.362367,36.290528,2474
382,-0.374743,36.290448,2438
383,-0.401292,36.290276,2280
384,-0.411934,36.277417,2169
385,-0.411937,36.257738,1868
386,-0.401282,36.250608,1854
387,-0.324949,36.225862,2094
388,-0.30014,36.220667,2232
389,-0.289516,36.218954,2175
390,-0.248885,36.212208000000004,2303
391,-0.17139300000000002,36.212856,2650
392,-0.132324,36.223287,2603
